City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
0,Tuatapere,NZ,58.82,few clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
3,Punta Arenas,CL,50.11,scattered clouds,-53.15,-70.9167,Hotel Hain
6,Ushuaia,AR,49.66,scattered clouds,-54.8,-68.3,Albatross Hotel
7,San Quintin,MX,59.49,overcast clouds,30.4833,-115.95,Don Eddie's Landing
16,Naze,JP,63.52,broken clouds,28.3667,129.4833,Shishime Hotel
17,Balkanabat,TM,49.42,overcast clouds,39.5108,54.3671,Nebitchi Hotel
19,Brae,GB,46.31,overcast clouds,60.3964,-1.353,Busta House Hotel
23,Ribeira Grande,PT,59.61,few clouds,38.5167,-28.7,Quinta da Meia Eira
30,Guerrero Negro,MX,64.85,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
32,Cameron Park,US,58.93,clear sky,38.6688,-120.9872,Quality Inn & Suites Cameron Park Shingle Springs
39,Makueni,KE,58.15,few clouds,-1.8041,37.6203,WOTE TECHNICAL HOSTELS
40,Saint George,US,48.79,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
43,Bredasdorp,ZA,64.27,few clouds,-34.5322,20.0403,Bredasdorp Country Manor
49,Hasaki,JP,46.29,broken clouds,35.7333,140.8333,Hotel Sunrise Choshi
54,Katsuura,JP,50.18,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
57,Kaitangata,NZ,56.93,few clouds,-46.2817,169.8464,Kaitangata Motor Camp
67,Sindgi,IN,62.94,clear sky,16.9167,76.2333,Parashuram Siddapp
68,Riyadh,SA,60.94,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
69,Bilma,NE,52.86,few clouds,18.6853,12.9164,Expeditions Ténére voyages
70,San Francisco,US,62.26,haze,37.7749,-122.4194,The Clift Royal Sonesta Hotel
72,Faya,SA,54.12,clear sky,18.3851,42.4509,املاك خالد الشعشوع
73,Mataura,NZ,58.48,broken clouds,-46.1927,168.8643,Ellie's Villa
77,Carballo,ES,45.68,clear sky,43.213,-8.691,Pazo do Souto
79,Saldanha,ZA,59.05,clear sky,-33.0117,17.9442,Blue Bay Lodge
80,Etah,IN,45.81,clear sky,27.6333,78.6667,Shivam Yadav अहीर
84,Serenje,ZM,60.22,overcast clouds,-13.2325,30.2352,The Kabaso's
89,Mar Del Plata,AR,64.09,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
91,Bluff,NZ,58.8,scattered clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
95,Dunedin,NZ,58.8,broken clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
108,Esperance,AU,64.24,overcast clouds,-33.8667,121.9,Hospitality Esperance
113,Te Anau,NZ,60.73,scattered clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
138,Bedele,ET,55.78,few clouds,8.456,36.353,Central Hotel
