City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
0,Tuatapere,NZ,2022-01-27 01:15:20,-46.1333,167.6833,58.82,50,20,9.1,few clouds
1,East London,ZA,2022-01-27 01:11:47,-33.0153,27.9116,72.97,92,26,2.84,scattered clouds
2,Dicabisagan,PH,2022-01-27 01:15:22,17.0818,122.4157,76.71,91,100,3.2,moderate rain
3,Punta Arenas,CL,2022-01-27 01:15:23,-53.15,-70.9167,50.11,76,40,28.77,scattered clouds
4,Lagos,NG,2022-01-27 01:12:04,6.5833,3.75,71.28,95,0,0.89,clear sky
5,Sao Joao Da Barra,BR,2022-01-27 01:15:24,-21.6403,-41.0511,76.05,83,2,22.3,clear sky
6,Ushuaia,AR,2022-01-27 01:15:25,-54.8,-68.3,49.66,76,40,27.63,scattered clouds
7,San Quintin,MX,2022-01-27 01:15:25,30.4833,-115.95,59.49,67,100,8.63,overcast clouds
8,Hilo,US,2022-01-27 01:12:09,19.7297,-155.09,78.53,67,40,9.22,scattered clouds
9,Cabo San Lucas,MX,2022-01-27 01:11:35,22.8909,-109.9124,71.51,62,0,1.01,clear sky
10,Bambous Virieux,MU,2022-01-27 01:11:28,-20.3428,57.7575,71.22,88,40,4.61,scattered clouds
11,Deputatskiy,RU,2022-01-27 01:12:05,69.3,139.9,-12.23,96,100,5.28,overcast clouds
12,Chuy,UY,2022-01-27 01:15:29,-33.6971,-53.4616,71.17,90,100,14.9,overcast clouds
13,Sabla,NG,2022-01-27 01:15:30,12.7525,4.7077,65.32,16,4,16.49,clear sky
14,Busselton,AU,2022-01-27 01:15:32,-33.65,115.3333,69.04,52,0,11.56,clear sky
15,Vaini,TO,2022-01-27 01:15:32,-21.2,-175.2,87.96,74,20,8.05,few clouds
16,Naze,JP,2022-01-27 01:15:33,28.3667,129.4833,63.52,69,81,6.58,broken clouds
17,Balkanabat,TM,2022-01-27 01:15:34,39.5108,54.3671,49.42,33,100,4.85,overcast clouds
18,Rikitea,PF,2022-01-27 01:15:35,-23.1203,-134.9692,78.6,77,2,17.22,clear sky
19,Brae,GB,2022-01-27 01:15:36,60.3964,-1.353,46.31,96,100,43.17,overcast clouds
