City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kaitangata,NZ,2022-01-24 00:08:57,-46.2817,169.8464,55.92,70,53,8.37
1,Albany,US,2022-01-24 00:08:58,42.6001,-73.9662,26.8,86,100,2.1
2,Carnarvon,AU,2022-01-24 00:08:59,-24.8667,113.6333,84.27,51,1,23.02
3,Chuy,UY,2022-01-24 00:08:59,-33.6971,-53.4616,73.38,95,86,4.41
4,Kloulklubed,PW,2022-01-24 00:09:00,7.0419,134.2556,82.9,81,54,19.62
5,Port Alfred,ZA,2022-01-24 00:09:01,-33.5906,26.891,71.53,77,0,16.26
6,Jamestown,US,2022-01-24 00:09:02,42.097,-79.2353,21.09,67,100,5.01
7,Guilin,CN,2022-01-24 00:09:03,25.2819,110.2864,43.61,88,98,6.6
8,Camacha,PT,2022-01-24 00:09:03,33.0833,-16.3333,59.76,77,40,5.75
9,Cape Town,ZA,2022-01-24 00:09:03,-33.9258,18.4232,70.88,86,39,1.01
10,Rikitea,PF,2022-01-24 00:09:05,-23.1203,-134.9692,78.37,70,100,15.1
11,Ouadda,CF,2022-01-24 00:09:06,8.0777,22.4007,67.8,29,19,5.84
12,Gambela,ET,2022-01-24 00:09:07,8.25,34.5833,79.68,36,65,1.43
13,Port Hardy,CA,2022-01-24 00:09:08,50.6996,-127.4199,42.76,73,100,4.29
14,Lithakia,GR,2022-01-24 00:09:09,37.7167,20.8333,40.59,51,60,12.01
15,Launceston,AU,2022-01-24 00:09:09,-41.45,147.1667,74.61,54,77,4.0
16,Te Anau,NZ,2022-01-24 00:09:10,-45.4167,167.7167,61.38,59,53,1.39
17,Punta Arenas,CL,2022-01-24 00:09:11,-53.15,-70.9167,53.71,71,75,23.02
18,Dikson,RU,2022-01-24 00:09:12,73.5069,80.5464,-6.39,99,100,20.38
19,Cabo San Lucas,MX,2022-01-24 00:08:23,22.8909,-109.9124,73.62,71,100,1.01
20,Avera,US,2022-01-24 00:09:13,33.194,-82.5271,48.7,54,0,7.67
21,Atuona,PF,2022-01-24 00:07:27,-9.8,-139.0333,78.75,71,10,18.25
22,Lorengau,PG,2022-01-24 00:09:15,-2.0226,147.2712,84.24,78,84,12.93
23,Provideniya,RU,2022-01-24 00:09:16,64.3833,-173.3,14.36,79,100,8.95
24,Namwala,ZM,2022-01-24 00:09:16,-15.7504,26.4384,60.84,97,61,3.65
25,Pisco,PE,2022-01-24 00:09:17,-13.7,-76.2167,71.65,73,0,21.85
26,Srednekolymsk,RU,2022-01-24 00:09:19,67.45,153.6833,-25.82,98,100,6.82
27,Guerrero Negro,MX,2022-01-24 00:09:19,27.9769,-114.0611,64.47,44,83,10.74
28,Castro,BR,2022-01-24 00:09:20,-24.7911,-50.0119,69.55,80,32,4.65
29,Barrow,US,2022-01-24 00:05:45,71.2906,-156.7887,1.42,85,100,5.75
30,Lima,PE,2022-01-24 00:05:41,-12.0432,-77.0282,72.14,62,0,1.01
31,Ancud,CL,2022-01-24 00:09:22,-41.8697,-73.8203,59.43,87,84,8.41
32,Aksu,CN,2022-01-24 00:09:23,41.1231,80.2644,22.73,57,97,2.68
33,Moose Factory,CA,2022-01-24 00:09:24,51.2585,-80.6094,-14.82,76,100,5.75
34,Laguna,US,2022-01-24 00:09:25,38.421,-121.4238,66.49,54,0,1.01
35,Puerto Ayora,EC,2022-01-24 00:09:26,-0.7393,-90.3518,74.16,87,96,8.21
36,Sitka,US,2022-01-24 00:09:27,57.0531,-135.33,39.09,93,100,0.0
37,Hilo,US,2022-01-24 00:05:04,19.7297,-155.09,78.53,73,40,8.05
38,Jarocin,PL,2022-01-24 00:09:28,51.9727,17.5026,35.74,95,100,5.61
39,Nsoko,SZ,2022-01-24 00:09:29,-27.0333,31.95,65.23,87,21,3.83
40,Yellowknife,CA,2022-01-24 00:09:30,62.456,-114.3525,-22.97,96,56,4.83
41,Victoria,HK,2022-01-24 00:05:58,22.2855,114.1577,67.32,93,90,1.01
42,Gushikawa,JP,2022-01-24 00:09:31,26.3544,127.8686,69.8,91,75,9.22
43,Wanning,CN,2022-01-24 00:09:32,18.8003,110.3967,72.14,91,74,2.68
44,Terra Santa,BR,2022-01-24 00:09:33,-2.1042,-56.4869,75.38,95,97,1.92
45,Dubti,ET,2022-01-24 00:09:34,11.7361,41.0853,74.39,66,48,10.27
46,Thompson,CA,2022-01-24 00:10:35,55.7435,-97.8558,-11.96,88,23,8.55
47,Upernavik,GL,2022-01-24 00:09:21,72.7868,-56.1549,-13.18,61,3,4.99
48,Kapit,MY,2022-01-24 00:10:36,2.0167,112.9333,74.23,99,100,0.72
49,Shaki,AZ,2022-01-24 00:10:37,41.0833,47.1667,36.39,49,1,1.48
50,Harper,LR,2022-01-24 00:09:17,4.375,-7.7169,77.74,85,0,6.17
51,Tuatapere,NZ,2022-01-24 00:10:39,-46.1333,167.6833,59.83,52,36,4.45
52,Hohhot,CN,2022-01-24 00:10:40,40.8106,111.6522,17.56,93,85,2.95
53,Newport,GB,2022-01-24 00:05:56,51.5877,-2.9984,41.86,84,97,5.35
54,Avarua,CK,2022-01-24 00:10:41,-21.2078,-159.775,77.05,100,75,13.8
55,Kahului,US,2022-01-24 00:10:42,20.8947,-156.47,82.42,70,20,19.57
